image_name,category,true_caption,retrieved_caption,CLIPScore_matched,CLIPScore_retrieved,CLIPScore_random,BERTScore_F1
n04487081_19981,bus,Red trolley bus on a city street,Red trolley bus on a city street,0.33088642,0.33088642,0.1574039,1.0
n03791053_24406,motorbike,Classic motorbike parked on grassy field,White motorbike on display at an event,0.28565437,0.2919474,0.14935087,0.9175274
008222,dog,Dog sitting on grass with fallen leaves,Dog with beaded collar on asphalt road,0.2518402,0.2594358,0.11838774,0.8862449
2009_001713,aeroplane,Aeroplane flying above green fields and trees,Aeroplane on airport runway with trees nearby,0.2564723,0.278159,0.12663347,0.92059183
2008_004064,person,Person standing outside near a red house,Person standing outside near a red house,0.26215392,0.26215392,0.15805975,1.0
007868,cat,Orange cat with white fur outdoors,Orange cat with white fur outdoors,0.30516765,0.30516765,0.09858399,1.0000001
n02835271_25613,bicycle,Tandem bicycle on green grassy field,Blue tandem bicycle on green grass lawn,0.33900663,0.34061038,0.12875967,0.95275736
n02835271_42981,bicycle,Tandem bicycle parked by a stone wall,Tandem bicycle parked by a stone wall,0.31014854,0.31014854,0.16888042,0.99999994
n04487081_34020,bus,Green bus near apartment buildings and shops,Green bus near apartment buildings and shops,0.32912678,0.32912678,0.15210745,0.99999994
2010_000261,cat,Cat sitting on a sunlit table,Cat sitting by a sunlit window,0.29609296,0.2992506,0.16750272,0.9701724
2009_003667,aeroplane,Aeroplane flying against a clear blue sky,Aeroplane flying against a clear blue sky,0.28426945,0.28426945,0.11281433,1.0
003686,tvmonitor,Old Compaq tvmonitor displaying Mac OS X,Old Compaq tvmonitor displaying Mac OS X,0.36398202,0.36398202,0.11609304,1.0
n03983396_12459,bottle,Bottle with straw beside a blue wall,Bottle with straw beside a blue wall,0.3764863,0.3764863,0.15637197,1.0
2008_000037,aeroplane,Aeroplane flying high in the clear sky,Aeroplane flying low above grassy airfield,0.29042774,0.32265764,0.129291,0.93540645
2009_000177,train,Train at a modern glass-covered station,Train at a modern glass-covered station,0.31305656,0.31305656,0.15776601,1.0
2009_003241,dog,Dog playing in the snow,Dog playing in the snow,0.2975101,0.2975101,0.1193735,1.0
n02389026_1168,horse,Brown horse standing near a wooden barn,Brown horse standing in a fenced enclosure,0.31944698,0.31945682,0.15414053,0.9396045
2010_003714,horse,Horse running fast across a dusty paddock,Horse running fast across a dusty paddock,0.34081554,0.34081554,0.1567243,1.0
n03983396_14387,bottle,Green Mountain Dew bottle lineup on a shelf,Green Mountain Dew bottle lineup on a shelf,0.3196296,0.3196296,0.13554786,1.0
2009_005031,aeroplane,Aeroplane on airport runway with trees nearby,Silver aeroplane displayed on outdoor tarmac,0.25282615,0.26951954,0.07367805,0.90548176
n11939491_6422,flower,Yellow flower blooming among green leafy plants,Yellow flower blooming among green leaves,0.32746494,0.33276814,0.14723606,0.97275954
000670,person,Two people sitting together indoors,Two people sitting together indoors,0.27974278,0.27974278,0.15377441,1.0
008564,horse,Horse walking on grassy field under blue sky,Horse walking in a fenced grassy area,0.2986946,0.3280764,0.10299305,0.9446535
003166,cat,Cat lounging on a tiled floor indoors,Gray cat indoors with tan walls,0.28050438,0.28811812,0.17605391,0.88501686
2008_004752,dog,Dog standing on a sandy beach,Dog standing on a sandy beach,0.29503557,0.29503557,0.20894575,1.0
n03201208_18434,diningtable,Round diningtable with four wooden chairs,Round diningtable with four wooden chairs,0.34250122,0.34250122,0.19555953,1.0
2010_005433,motorbike,Blue motorbike parked on a driveway,Blue motorbike parked on a driveway,0.33844995,0.33844995,0.14598686,1.0000001
n04483307_2979,boat,Sailboat gliding on calm open water,Boat with tall sails on open water,0.3116486,0.32103246,0.130124,0.9300026
n04152593_63603,tvmonitor,Tvmonitor displaying blue screen beside keyboard setup,tvmonitor on a desk with keyboard and computer,0.2993263,0.33562642,0.15492722,0.8902848
2010_003725,sheep,Sheep standing by a metal fence,Sheep standing in a wire pen,0.29490387,0.30139762,0.1155187,0.95857614
n04483307_10156,boat,Passenger boat approaching a sunny harbor dock,Passenger boat approaching a sunny harbor dock,0.27553385,0.27553385,0.13329256,0.99999994
2009_001537,sheep,Sheep grazing on a grassy hillside,Sheep with large horns on rocky terrain,0.29591843,0.31650886,0.25507268,0.91353166
n02410509_23735,cow,Cow resting beside a rocky road,Cow resting beside a rocky road,0.3189894,0.3189894,0.20437203,1.0
n04152593_44196,tvmonitor,Tvmonitor on office desk with files,Two tvmonitor screens on a cluttered desk,0.29852352,0.32956672,0.14329733,0.9130182
002733,car,White car displayed on a modern showroom floor,White car displayed on a modern showroom floor,0.30841166,0.30841166,0.13158122,1.0
n02835271_24771,bicycle,Yellow tandem bicycle against a brick wall,Bicycle with yellow rims on a red mat,0.32986355,0.3330186,0.12121868,0.8905726
008511,bicycle,Bicycle with bamboo frame near a wall,Bicycle with bamboo frame near a wall,0.31681323,0.31681323,0.13790734,1.0
n03782006_10567,tvmonitor,Rows of old tvmonitor screens on shelves,Rows of old tvmonitor screens on shelves,0.3192761,0.3192761,0.08604133,1.0
n03095699_7497,boat,Container boat sailing on open water,Boat carrying cargo containers on open water,0.29386467,0.31219274,0.13716,0.9388226
n03782006_15613,tvmonitor,Dual tvmonitor screens on a computer desk,Dual tvmonitor screens on a computer desk,0.320193,0.320193,0.12318742,1.0
000946,train,Modern train arriving at covered station platform,Modern train arriving at covered station platform,0.30361062,0.30361062,0.15758559,1.0000001
2010_001240,cat,Cat with green eyes lying on paper,Gray cat indoors with tan walls,0.31622988,0.31899506,0.14532195,0.86903995
006326,car,Silver car parked in a tree-lined lot,Car parked in front of green garage door,0.24050191,0.2645663,0.12722105,0.90526104
n03376595_2809,chair,Striped folding chair on carpeted floor,Striped folding chair on carpeted floor,0.32944614,0.32944614,0.10879502,1.0
n03782006_5705,tvmonitor,tvmonitor on a cluttered wooden desk,Three tvmonitors on a corner desk workspace,0.28564993,0.30404037,0.13860628,0.9042091
