subject,session,run,trial_idx,npy_path,image_name,category,caption,label
sub-02,ses-01,run-01,14,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_001300,train,Steam train moving through a forest clearing,18
sub-02,ses-01,run-01,15,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03201208_62428,diningtable,Diningtable set for a festive autumn meal,10
sub-02,ses-01,run-01,16,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02423022_5103,sheep,Sheep grazing and resting on dry ground,16
sub-02,ses-01,run-01,17,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_005904,bottle,Wine bottle on a striped tablecloth,4
sub-02,ses-01,run-01,18,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04483307_7439,boat,Sailboat gliding on calm blue water,3
sub-02,ses-01,run-01,19,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_001986,sheep,Sheep standing near a metal fence,16
sub-02,ses-01,run-01,20,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03201208_1480,diningtable,Wooden diningtable with six matching chairs,10
sub-02,ses-01,run-01,21,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03782006_1007,tvmonitor,Tvmonitor displaying HP desktop on office desk,19
sub-02,ses-01,run-01,22,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04344873_15703,sofa,Colorful patterned sofa by a curtained window,17
sub-02,ses-01,run-01,23,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_008346,bird,Bird preening feathers on a tree branch,2
sub-02,ses-01,run-01,24,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_004543,horse,White horse grazing on green grassy field,13
sub-02,ses-01,run-01,25,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_000716,cat,Gray cat resting on a floral cushion,7
sub-02,ses-01,run-01,26,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04487081_14059,bus,Bus stopped beside modern glass building,5
sub-02,ses-01,run-01,27,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,006162,aeroplane,Aeroplane taking off into cloudy sky,0
sub-02,ses-01,run-01,28,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_004828,dog,Dog standing alert on green grass,11
sub-02,ses-01,run-01,29,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_004328,bus,Bus driving through a busy urban street,5
sub-02,ses-01,run-01,30,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03785016_22337,motorbike,Yellow motorbike parked beside graffiti wall,14
sub-02,ses-01,run-01,31,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04152593_25707,tvmonitor,tvmonitor on desk with computers and keyboard,19
sub-02,ses-01,run-01,32,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_001097,car,Car parked at a service station on rainy day,6
sub-02,ses-01,run-01,33,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_002912,cow,Three cows walking on a grassy hill,9
sub-02,ses-01,run-01,34,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02389026_7994,horse,Horse standing on snowy winter field,13
sub-02,ses-01,run-01,35,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_001121,car,Red car parked on grassy field,6
sub-02,ses-01,run-01,36,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_002001,person,Person sitting indoors near a window,15
sub-02,ses-01,run-01,37,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02835271_5774,bicycle,Tandem bicycle with trailer beside paved path,1
sub-02,ses-01,run-01,38,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_005155,bottle,Bottle and glass beside a colorful sign,4
sub-02,ses-01,run-01,39,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03095699_3040,boat,Large cargo boat carrying containers on water,3
sub-02,ses-01,run-01,40,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_003534,bus,Colorful bus turning onto city street,5
sub-02,ses-01,run-01,41,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03791053_1988,motorbike,Motorbike parked beside old brick wall,14
sub-02,ses-01,run-01,42,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02422699_16758,sheep,Sheep standing on grassy field with flowers,16
sub-02,ses-01,run-01,43,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04099969_1486,chair,Wooden rocking chair on carpeted floor,8
sub-02,ses-01,run-01,44,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_003580,bird,Bird standing on a surface with trees,2
sub-02,ses-01,run-01,45,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04344873_13569,sofa,Red sofa next to striped rug and windows,17
sub-02,ses-01,run-01,46,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,003458,bird,Green bird pair perched on wooden branch,2
sub-02,ses-01,run-01,47,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_003291,cat,Gray cat sitting between person's legs,7
sub-02,ses-01,run-01,48,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_000161,bicycle,Bicycle resting on a forest trail,1
sub-02,ses-01,run-01,49,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n11939491_5500,flower,Pink flower with yellow center petals,12
sub-02,ses-01,run-01,50,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04344873_13665,sofa,Sofa facing a cozy coffee shop counter,17
sub-02,ses-01,run-01,51,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_002585,chair,Curved wooden chair on a carpeted floor,8
sub-02,ses-01,run-01,52,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_004730,train,Train crossing a bridge over a river,18
sub-02,ses-01,run-01,53,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02389026_11511,horse,Horse standing near a concrete building,13
sub-02,ses-01,run-01,54,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_002724,cat,Cat resting on a soft patterned blanket,7
sub-02,ses-01,run-01,55,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n11939491_6929,flower,White flower with ant on yellow center,12
sub-02,ses-01,run-01,56,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04152593_82483,tvmonitor,Tvmonitor on office desk with computer equipment,19
sub-02,ses-01,run-01,57,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,002878,person,Person smiling with friends and Santa costume,15
sub-02,ses-01,run-01,58,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,009167,aeroplane,Aeroplane flying high in the blue sky,0
sub-02,ses-01,run-01,59,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_000987,train,Train with glass domes on rural tracks,18
sub-02,ses-01,run-01,60,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_003397,dog,Dog lying on a patterned sofa,11
sub-02,ses-01,run-01,61,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02835271_26139,bicycle,Tandem bicycle on kitchen tile floor,1
sub-02,ses-01,run-01,62,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,009432,aeroplane,Aeroplane flying high in the blue sky,0
sub-02,ses-01,run-01,63,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n11939491_18451,flower,Yellow flower among green leafy plants,12
sub-02,ses-01,run-01,64,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03095699_10453,boat,Container boat carrying cargo across the sea,3
sub-02,ses-01,run-01,65,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02408429_1388,cow,Cow grazing in tall green grass,9
sub-02,ses-01,run-01,66,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04099969_1679,chair,Pink chair with plaid cushion and pockets,8
sub-02,ses-01,run-01,67,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_002833,dog,Bulldog dog sitting among pink flowers,11
sub-02,ses-01,run-01,68,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02389026_19049,horse,Horse looking out from stable fence,13
sub-02,ses-01,run-01,69,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_005160,cat,Gray cat sitting by green bushes,7
sub-02,ses-01,run-01,70,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03782006_8136,tvmonitor,tvmonitor on a cluttered wooden desk setup,19
sub-02,ses-01,run-01,71,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02835271_323,bicycle,Tandem bicycle on a concrete driveway,1
sub-02,ses-01,run-01,72,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,002894,aeroplane,Aeroplane displayed in a large hangar,0
sub-02,ses-01,run-01,73,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_002160,person,Person sitting on a patterned couch,15
sub-02,ses-01,run-01,74,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02389026_10060,horse,Horse with saddle standing on grass,13
sub-02,ses-01,run-01,75,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,000787,car,Rally car jumping on rural road,6
sub-02,ses-01,run-01,76,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04099969_38700,chair,Green chair with wooden rockers on carpet,8
sub-02,ses-01,run-01,77,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,009446,tvmonitor,Old tvmonitor with gaming consoles beside it,19
sub-02,ses-01,run-01,78,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02835271_16104,bicycle,Tandem bicycle parked on suburban street grass,1
sub-02,ses-01,run-01,79,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,005770,car,Rally car kicking up dust on dirt road,6
sub-02,ses-01,run-01,80,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n11939491_47816,flower,White daisy flower surrounded by green leaves,12
sub-02,ses-01,run-01,81,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04483307_2824,boat,Boat floating on choppy dark water,3
sub-02,ses-01,run-01,82,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04487081_18599,bus,Electric bus by brick building and shops,5
sub-02,ses-01,run-01,83,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_001583,aeroplane,Aeroplane taxiing on airport grass field,0
sub-02,ses-01,run-01,84,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2010_002224,cat,Cat standing on a concrete surface,7
sub-02,ses-01,run-01,85,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n02403003_8220,cow,Cow standing near a rustic wooden building,9
sub-02,ses-01,run-01,86,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2011_001150,chair,Red cushioned chair on wooden floor,8
sub-02,ses-01,run-01,87,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03785016_25768,motorbike,Motorbike parked beside a barred window,14
sub-02,ses-01,run-01,88,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03785016_2222,motorbike,Motorbike parked on concrete near a garage,14
sub-02,ses-01,run-01,89,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03201208_37928,diningtable,Diningtable with checkered cloth and dishes,10
sub-02,ses-01,run-01,90,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_001732,sheep,Sheep standing on green grassy field,16
sub-02,ses-01,run-01,91,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n04344873_3626,sofa,Beige sofa with folded blanket on top,17
sub-02,ses-01,run-01,92,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,000002,train,Train traveling through rural green fields,18
sub-02,ses-01,run-01,93,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n11939491_8731,flower,White daisy flower with raindrops on wood,12
sub-02,ses-01,run-01,94,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03785016_2305,motorbike,Motorbike parked on a quiet street,14
sub-02,ses-01,run-01,95,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_007501,bird,Bird perched on tree branch under sunlight,2
sub-02,ses-01,run-01,96,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_000361,bird,Bird with open wings near calm water,2
sub-02,ses-01,run-01,97,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2009_004471,car,Silver car parked beside grassy curb,6
sub-02,ses-01,run-01,98,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,n03201208_8583,diningtable,Diningtable with red runner in cozy room,10
sub-02,ses-01,run-01,99,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-01_1000Hz.npy,2008_002506,person,Three people smiling together at a party,15
sub-02,ses-01,run-02,0,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,006942,bicycle,Silver bicycle standing in a narrow hallway,1
sub-02,ses-01,run-02,1,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2008_007114,tvmonitor,tvmonitor with plush toy and sticky notes,19
sub-02,ses-01,run-02,2,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n04487081_16844,bus,Electric bus driving through city street,5
sub-02,ses-01,run-02,3,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2010_003847,train,Freight train travels through dry open land,18
sub-02,ses-01,run-02,4,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,002774,horse,Two horses by a wooden fence at night,13
sub-02,ses-01,run-02,5,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n03095699_2634,boat,Boat carrying cargo containers on the ocean,3
sub-02,ses-01,run-02,6,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n03785016_12575,motorbike,Red motorbike parked inside a cluttered garage,14
sub-02,ses-01,run-02,7,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,004415,bird,Bird swimming on rippling blue water,2
sub-02,ses-01,run-02,8,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2011_001544,horse,Horse with blonde mane near a building,13
sub-02,ses-01,run-02,9,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n02389026_19864,horse,Horse grazing on green grassy field,13
sub-02,ses-01,run-02,10,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,001008,motorbike,Motorbike parked on a dirt forest road,14
sub-02,ses-01,run-02,11,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n03201208_17042,diningtable,Diningtable with wooden chairs and vase centerpiece,10
sub-02,ses-01,run-02,12,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2009_002039,dog,Dog sitting happily on car seat,11
sub-02,ses-01,run-02,13,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,n03201208_32524,diningtable,Wooden diningtable with four matching chairs,10
sub-02,ses-01,run-02,14,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2008_006831,boat,Large white boat docked near a shoreline,3
sub-02,ses-01,run-02,15,/ocean/projects/cis250019p/gandotra/11785-gp-eeg/ds005589/sub-02/ses-01/sub-02_ses-01_task-lowSpeed_run-02_1000Hz.npy,2009_002585,chair,Curved wooden chair on a carpeted floor,8
